scenario,sim_time,day_time,job_id,source,event_type,technician,station,remaining_time,outcome,wait_time,turnaround_time,service_time,generated_at
base run,7.0,Day 0 - Monday 07:00,ADVEX-1,Advance Exchange,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,7.0,Day 0 - Monday 07:00,ADVEX-1,Advance Exchange,started,Tech 1,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,7.066666666666666,Day 0 - Monday 07:04,ADVEX-1,Advance Exchange,finished,Tech 1,Station 1,0,repaired,0.0,0.06666666666666643,0.06666666666666667,2026-07-16T19:34:27.108097
base run,9.605390159286008,Day 0 - Monday 09:36,PROD-1,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,9.605390159286008,Day 0 - Monday 09:36,PROD-1,Production Failure,started,Tech 1,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,10.105390159286008,Day 0 - Monday 10:06,PROD-1,Production Failure,finished,Tech 1,Station 1,0,rtv,0.0,0.5,0.5,2026-07-16T19:34:27.108097
base run,13.346588104044207,Day 0 - Monday 13:21,PROD-2,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,13.346588104044207,Day 0 - Monday 13:21,PROD-2,Production Failure,started,Tech 1,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,13.846588104044207,Day 0 - Monday 13:51,PROD-2,Production Failure,finished,Tech 1,Station 1,0,rtv,0.0,0.5,0.5,2026-07-16T19:34:27.108097
base run,31.0,Day 1 - Tuesday 07:00,RMA-1,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,31.0,Day 1 - Tuesday 07:00,RESHIP-1,Reship,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,31.0,Day 1 - Tuesday 07:00,RMA-1,Customer RMA,bumped,,,0.38333333333333336,,,,,2026-07-16T19:34:27.108097
base run,31.0,Day 1 - Tuesday 07:00,RESHIP-1,Reship,started,Tech 2,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,31.0,Day 1 - Tuesday 07:00,RMA-1,Customer RMA,started,Tech 1,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,31.383333333333333,Day 1 - Tuesday 07:23,RMA-1,Customer RMA,finished,Tech 1,Station 2,0,repaired,0.0,0.38333333333333286,0.38333333333333336,2026-07-16T19:34:27.108097
base run,32.86930032079293,Day 1 - Tuesday 08:52,RESHIP-1,Reship,finished,Tech 2,Station 1,0,reshipped,0.0,1.8693003207929308,1.869300320792934,2026-07-16T19:34:27.108097
base run,55.0,Day 2 - Wednesday 07:00,RMA-2,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,55.0,Day 2 - Wednesday 07:00,RESHIP-2,Reship,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,55.0,Day 2 - Wednesday 07:00,PROD-3,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,55.0,Day 2 - Wednesday 07:00,RMA-2,Customer RMA,bumped,,,2.1666666666666665,,,,,2026-07-16T19:34:27.108097
base run,55.0,Day 2 - Wednesday 07:00,RESHIP-2,Reship,started,Tech 2,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,55.0,Day 2 - Wednesday 07:00,RMA-2,Customer RMA,started,Tech 1,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,56.09671637683346,Day 2 - Wednesday 08:06,RESHIP-2,Reship,finished,Tech 2,Station 1,0,reshipped,0.0,1.096716376833463,1.096716376833464,2026-07-16T19:34:27.108097
base run,56.09671637683346,Day 2 - Wednesday 08:06,PROD-3,Production Failure,started,Tech 2,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,56.59671637683346,Day 2 - Wednesday 08:36,PROD-3,Production Failure,finished,Tech 2,Station 1,0,rtv,1.096716376833463,1.596716376833463,0.5,2026-07-16T19:34:27.108097
base run,57.166666666666664,Day 2 - Wednesday 09:10,RMA-2,Customer RMA,finished,Tech 1,Station 2,0,rtv,0.0,2.1666666666666643,2.1666666666666665,2026-07-16T19:34:27.108097
base run,79.0,Day 3 - Thursday 07:00,RMA-3,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,79.0,Day 3 - Thursday 07:00,RMA-3,Customer RMA,started,Tech 1,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,79.28333333333333,Day 3 - Thursday 07:17,RMA-3,Customer RMA,finished,Tech 1,Station 1,0,rtv,0.0,0.28333333333333144,0.2833333333333333,2026-07-16T19:34:27.108097
base run,103.0,Day 4 - Friday 07:00,ADVEX-2,Advance Exchange,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,103.0,Day 4 - Friday 07:00,ADVEX-2,Advance Exchange,started,Tech 2,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,104.21216658437203,Day 4 - Friday 08:13,RMA-4,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,104.21216658437203,Day 4 - Friday 08:13,RMA-4,Customer RMA,started,Tech 1,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,104.75379101697072,Day 4 - Friday 08:45,PROD-4,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,107.43754439090402,Day 4 - Friday 11:26,ADVEX-3,Advance Exchange,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,111.5,Day 4 - Friday 15:30,ADVEX-2,Advance Exchange,paused,Tech 2,Station 2,3.6500000000000004,,,,,2026-07-16T19:34:27.108097
base run,111.5,Day 4 - Friday 15:30,RMA-4,Customer RMA,paused,Tech 1,Station 1,1.0121665843720287,,,,,2026-07-16T19:34:27.108097
base run,175.0,Day 7 - Monday 07:00,PROD-5,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,175.0,Day 7 - Monday 07:00,ADVEX-4,Advance Exchange,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,175.0,Day 7 - Monday 07:00,RESHIP-3,Reship,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,175.0,Day 7 - Monday 07:00,RMA-5,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,176.01216658437204,Day 7 - Monday 08:01,RMA-4,Customer RMA,finished,Tech 1,Station 1,0,scrap,0.0,71.80000000000001,8.3,2026-07-16T19:34:27.108097
base run,178.65,Day 7 - Monday 10:39,ADVEX-2,Advance Exchange,finished,Tech 2,Station 2,0,repaired,0.0,75.65,12.15,2026-07-16T19:34:27.108097
base run,178.65,Day 7 - Monday 10:39,PROD-4,Production Failure,started,Tech 2,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,179.15,Day 7 - Monday 11:09,PROD-4,Production Failure,finished,Tech 2,Station 2,0,rtv,73.89620898302928,74.39620898302928,0.5,2026-07-16T19:34:27.108097
base run,179.15,Day 7 - Monday 11:09,ADVEX-3,Advance Exchange,started,Tech 2,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,181.1,Day 7 - Monday 13:06,ADVEX-3,Advance Exchange,finished,Tech 2,Station 2,0,repaired,71.71245560909598,73.66245560909597,1.95,2026-07-16T19:34:27.108097
base run,181.1,Day 7 - Monday 13:06,PROD-5,Production Failure,started,Tech 2,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,181.6,Day 7 - Monday 13:36,PROD-5,Production Failure,finished,Tech 2,Station 2,0,rtv,6.099999999999994,6.599999999999994,0.5,2026-07-16T19:34:27.108097
base run,181.6,Day 7 - Monday 13:36,ADVEX-4,Advance Exchange,started,Tech 2,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,183.5,Day 7 - Monday 15:30,ADVEX-4,Advance Exchange,paused,Tech 2,Station 2,5.699999999999994,,,,,2026-07-16T19:34:27.108097
base run,199.0,Day 8 - Tuesday 07:00,RMA-6,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,199.0,Day 8 - Tuesday 07:00,RESHIP-4,Reship,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,199.0,Day 8 - Tuesday 07:00,RMA-6,Customer RMA,started,Tech 1,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,200.53333333333333,Day 8 - Tuesday 08:32,RMA-6,Customer RMA,finished,Tech 1,Station 1,0,scrap,0.0,1.5333333333333314,1.5333333333333334,2026-07-16T19:34:27.108097
base run,204.7,Day 8 - Tuesday 12:42,ADVEX-4,Advance Exchange,finished,Tech 2,Station 2,0,repaired,6.599999999999994,29.69999999999999,7.6,2026-07-16T19:34:27.108097
base run,204.7,Day 8 - Tuesday 12:42,RESHIP-3,Reship,started,Tech 2,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,206.6253911796212,Day 8 - Tuesday 14:38,RESHIP-3,Reship,finished,Tech 2,Station 2,0,reshipped,29.69999999999999,31.625391179621204,1.9253911796212178,2026-07-16T19:34:27.108097
base run,206.6253911796212,Day 8 - Tuesday 14:38,RMA-5,Customer RMA,started,Tech 2,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,207.5,Day 8 - Tuesday 15:30,RMA-5,Customer RMA,paused,Tech 2,Station 2,15.74205784628787,,,,,2026-07-16T19:34:27.108097
base run,223.0,Day 9 - Wednesday 07:00,PROD-6,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,223.0,Day 9 - Wednesday 07:00,PROD-6,Production Failure,started,Tech 1,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,223.5,Day 9 - Wednesday 07:30,PROD-6,Production Failure,finished,Tech 1,Station 1,0,rtv,0.0,0.5,0.5,2026-07-16T19:34:27.108097
base run,228.71917502704332,Day 9 - Wednesday 12:43,PROD-7,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,228.71917502704332,Day 9 - Wednesday 12:43,PROD-7,Production Failure,started,Tech 1,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,229.21917502704332,Day 9 - Wednesday 13:13,PROD-7,Production Failure,finished,Tech 1,Station 1,0,rtv,0.0,0.5,0.5,2026-07-16T19:34:27.108097
base run,231.2104447553631,Day 9 - Wednesday 15:13,RMA-7,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
