run_number,parameter,value,completed_jobs,average_wait_time,average_turnaround_time,throughput_jobs_per_hour,wait_time_sensitivity,turnaround_time_sensitivity
0,baseline,,63.0,865.8092879438799,948.1765940568276,0.027639076481925408,0,0
1,general_technicians,2,63.0,564.2393230763612,652.3068551262907,0.02819303350349458,-0.3483099212110392,-0.31204075357380573
2,general_stations,2,63.0,539.3941811271152,624.1681124536542,0.02884815828835398,-0.3770057810212846,-0.34171744338982746
3,specialty_technicians,2,63.0,640.819994291947,739.7059531154497,0.02824379591930423,-0.2598601063592613,-0.21986478283483504
4,specialty_stations,2,63.0,578.7717086757939,662.17466812668,0.028704134065898987,-0.33152517911853496,-0.30163360678043327
5,simulation_period_hours,1440,125.0,2080.2411278306054,2182.899601974103,0.018720393105271828,1.4026551306359312,1.3022078541661133
6,job_limit,56,91.0,1607.1187811341515,1719.8344971485294,0.016798738339733676,0.8562041358446618,0.8138335284043656
7,advex_job_count,16,71.0,909.931574314274,993.1695208907794,0.025017158034400938,0.05096074503332662,0.04745205388528622
8,reship_job_count,16,71.0,904.9068912202447,981.3622156793978,0.02544303844470222,0.04515729251324343,0.034999410268696414
9,production_job_count,38,82.0,847.4395341351941,909.8340472659153,0.028956392197865246,-0.021216859260438533,-0.040438191610342955
