scenario,total_sim_time,completed_jobs,average_wait_time,average_turnaround_time,max_wait_time,min_wait_time,throughput_jobs_per_hour,Tech 1_utilization_percent,Tech 2_utilization_percent,Station 1_utilization_percent,Station 2_utilization_percent,Tech 3_utilization_percent,Station 3_utilization_percent,Tech 4_utilization_percent,Station 4_utilization_percent,generated_at
base run,2293.8598081336627,63,780.2416572553497,816.9494350730484,1542.143141466996,0.0,0.027464625247197758,13.617513396375145,11.638953568801874,4.34836696268093,20.908100002496084,,,,,2026-07-15T19:35:44.848382
extra gen tech,1407.3437780886966,63,52.00885687537936,100.05944765111201,367.0061011748719,0.0,0.04476518174227469,22.367094630658645,1.6227163988168858,22.2581423364711,18.907914862116133,17.176246169111703,,,,2026-07-15T19:35:44.979514
extra spec tech,1407.3437780886966,63,50.47410536361294,98.52293265642767,367.0061011748719,0.0,0.04476518174227469,1.8204884980486287,18.054923922916863,22.331566708640967,18.834490489946262,21.290644777621743,,,,2026-07-15T19:35:45.122869
extra gen station,1407.3437780886966,63,49.33553249600995,90.93258728334924,315.7447663698131,0.0,0.04476518174227469,22.195477148510907,18.970580050076325,7.252778162773802,21.57487659317004,,12.33840244264339,,,2026-07-15T19:35:45.289013
extra spec station,1430.0858359349843,63,49.33553249600995,91.2935723285284,315.7447663698131,0.0,0.04405329975092779,21.842511744229856,18.668898837637492,5.50095439482823,23.854221009884427,,11.156235177154695,,,2026-07-15T19:35:45.436049
+1 of all,1407.3437780886966,63,8.000193746703014,41.91973472441063,292.04999999999995,0.0,0.04476518174227469,4.688310195125877,21.091168314040342,6.7626311280284375,2.997504867236014,10.9325615324714,21.83857156110768,4.454017156949606,9.567349642215097,2026-07-15T19:35:45.592657
no preemption,2288.116981546867,63,783.2619614381613,819.6087542106812,1536.4003148802003,0.0,0.027533557291030308,13.651691289642592,11.668165576988715,13.86869278026402,11.451164086367287,,,,,2026-07-15T19:35:45.754933
no preemption and +1 spec tech,1407.3437780886966,63,72.06263246925808,108.16339349574619,367.721597287803,0.0,0.04476518174227469,2.850030934930354,17.025381486035133,22.512759110931125,18.653298087656104,21.290644777621743,,,,2026-07-15T19:35:45.907548
more demand,5287.639198308522,188,790.7571212305519,822.6002534927399,2539.9879362223232,0.0,0.03555461954744186,8.779186503115973,19.060929529150368,6.198196400616673,21.64191963164967,,,,,2026-07-15T19:35:46.208253
more demand and +1 all,3271.8511982571226,188,4.241516182764746,33.56543943130833,169.4000000000001,0.0,0.057459825831977146,8.957175133839726,10.673858982322121,9.549067529583926,5.383807739267398,12.819796633945298,17.32690181807014,12.541584826764224,12.732638489949899,2026-07-15T19:35:46.454996
validation check no preemption,680.7833333333333,15,0.07888888888888962,9.644286593513074,1.1000000000000014,0.0,0.022033441868435873,6.113830249500947,1.0809648007151489,6.289927047408257,0.9048680028078391,,,,,2026-07-15T19:37:17.910578
validation check wait and turnaround,680.7833333333333,15,0.07888888888888962,9.644286593513074,1.1000000000000014,0.0,0.022033441868435873,6.113830249500947,1.0809648007151489,6.289927047408257,0.9048680028078391,,,,,2026-07-15T19:37:18.038219
